ID,TimeStamp,CountryCode,TweetType,Size,LikeCount,RetweetCount
1128705097515589633,Wed May 15 17:54:00 WEST 2019,ES,original,205,0,0
1128683317002248193,Wed May 15 16:27:27 WEST 2019,US,original,256,0,0
1128522644297482240,Wed May 15 05:48:59 WEST 2019,GB,original,134,2,0
1128463719501971456,Wed May 15 01:54:51 WEST 2019,US,original,116,1,0
1128370975832076288,Tue May 14 19:46:19 WEST 2019,US,original,147,0,0
1129003313838534657,Thu May 16 13:39:00 WEST 2019,GB,original,238,0,1
1129002946673487872,Thu May 16 13:37:33 WEST 2019,AU,original,232,0,0
1128995668394168320,Thu May 16 13:08:37 WEST 2019,GR,original,240,1,0
1128990797062443011,Thu May 16 12:49:16 WEST 2019,GR,original,73,0,0
1128986460437094401,Thu May 16 12:32:02 WEST 2019,GR,original,168,0,0
1128973834420445184,Thu May 16 11:41:52 WEST 2019,GR,original,207,4,1
1129008032749424643,Thu May 16 13:57:45 WEST 2019,MX,original,142,0,0
1129005028105248768,Thu May 16 13:45:49 WEST 2019,ES,original,224,0,1
1128999334945710080,Thu May 16 13:23:11 WEST 2019,US,original,221,4,0
1128012830408572929,Mon May 13 20:03:10 WEST 2019,US,original,210,4,0
1129007245499523072,Thu May 16 13:54:37 WEST 2019,US,original,238,0,0
1129007059108864001,Thu May 16 13:53:53 WEST 2019,US,original,240,0,0
1129006873884188672,Thu May 16 13:53:09 WEST 2019,US,original,303,1,0
1129007267213262848,Thu May 16 13:54:43 WEST 2019,US,original,117,0,0
1129006432966402048,Thu May 16 13:51:24 WEST 2019,CA,original,137,0,0
1129006009270263809,Thu May 16 13:49:43 WEST 2019,US,original,215,0,0
1129005435669884929,Thu May 16 13:47:26 WEST 2019,US,original,126,0,0
1128417133459853312,Tue May 14 22:49:44 WEST 2019,MX,original,42,0,0
1128028011914321921,Mon May 13 21:03:30 WEST 2019,GB,original,102,68,11
1128571358525444097,Wed May 15 09:02:34 WEST 2019,GB,original,67,2,0
1129008730887151618,Thu May 16 14:00:32 WEST 2019,TR,original,236,0,0
1129007814792306688,Thu May 16 13:56:53 WEST 2019,BR,original,233,0,0
1128999662667665408,Thu May 16 13:24:30 WEST 2019,IT,original,300,0,0
1128879613126557697,Thu May 16 05:27:27 WEST 2019,US,original,148,0,0
1129001892082851845,Thu May 16 13:33:21 WEST 2019,MX,original,287,0,0
1129001746037190657,Thu May 16 13:32:46 WEST 2019,MX,original,304,0,0
1128982624888918016,Thu May 16 12:16:47 WEST 2019,US,original,259,1,0
1128967315813478400,Thu May 16 11:15:57 WEST 2019,BR,original,239,1,0
1128966514500149248,Thu May 16 11:12:46 WEST 2019,ES,original,232,0,0
1128965900269445120,Thu May 16 11:10:20 WEST 2019,IT,original,238,0,0
1129007726963699714,Thu May 16 13:56:32 WEST 2019,LB,original,206,0,0
1129006638738886656,Thu May 16 13:52:13 WEST 2019,US,original,238,0,0
1129006365693943809,Thu May 16 13:51:08 WEST 2019,NL,original,228,0,0
1129005793989337090,Thu May 16 13:48:51 WEST 2019,IE,original,195,0,0
1129005484701298689,Thu May 16 13:47:38 WEST 2019,PE,original,301,1,0
1129005147718332418,Thu May 16 13:46:17 WEST 2019,HR,original,234,0,0
1129004465670037505,Thu May 16 13:43:35 WEST 2019,GB,original,102,1,0
1129008485927129090,Thu May 16 13:59:33 WEST 2019,MX,original,130,0,0
1129006393007267841,Thu May 16 13:51:14 WEST 2019,US,original,81,0,0
1129003989536841728,Thu May 16 13:41:41 WEST 2019,US,original,77,0,0
1128990295905980417,Thu May 16 12:47:16 WEST 2019,US,original,237,0,0
1128981401246851072,Thu May 16 12:11:56 WEST 2019,GB,original,244,0,0
1129002123499253760,Thu May 16 13:34:16 WEST 2019,FR,original,243,0,0
1128984884515672064,Thu May 16 12:25:46 WEST 2019,FR,original,276,0,0
1128978793874509824,Thu May 16 12:01:34 WEST 2019,GB,original,303,0,0
1128968577258852352,Thu May 16 11:20:58 WEST 2019,IT,original,88,2,0
1128958661420883968,Thu May 16 10:41:34 WEST 2019,PL,original,141,0,0
1128955588292091904,Thu May 16 10:29:21 WEST 2019,ES,original,225,0,0
1128952581336834048,Thu May 16 10:17:24 WEST 2019,FR,original,191,0,0
1128952548650622976,Thu May 16 10:17:17 WEST 2019,SE,original,139,0,0
1128935262967537664,Thu May 16 09:08:35 WEST 2019,ES,original,273,2,2
1128923366486872065,Thu May 16 08:21:19 WEST 2019,US,original,154,0,0
1129007959613116416,Thu May 16 13:57:28 WEST 2019,US,original,199,0,0
1129003227175895041,Thu May 16 13:38:39 WEST 2019,PL,original,226,0,0
