ID,TimeStamp,CountryCode,TweetType,Size,LikeCount,RetweetCount
1130409779313205248,Mon May 20 10:47:48 WEST 2019,,isRetweet,140,0,1
1130389528559214595,Mon May 20 09:27:19 WEST 2019,,isRetweet,140,0,1
1130341050063773697,Mon May 20 06:14:41 WEST 2019,,isRetweet,48,0,75
1130333526371557376,Mon May 20 05:44:47 WEST 2019,,isRetweet,140,0,1
1130302658206674944,Mon May 20 03:42:08 WEST 2019,,isRetweet,142,0,28
1130302375661592588,Mon May 20 03:41:01 WEST 2019,,isRetweet,140,0,101
1130235907213103104,Sun May 19 23:16:53 WEST 2019,,isRetweet,140,0,1
1130232823317749760,Sun May 19 23:04:38 WEST 2019,,isRetweet,140,0,5
1130217234989817856,Sun May 19 22:02:41 WEST 2019,,isRetweet,100,0,3
1130205013551308803,Sun May 19 21:14:08 WEST 2019,,isRetweet,140,0,5
1130188088817332224,Sun May 19 20:06:52 WEST 2019,,isRetweet,142,0,28
1130144721278521349,Sun May 19 17:14:33 WEST 2019,,isRetweet,139,0,200
1130143817678708737,Sun May 19 17:10:57 WEST 2019,,isRetweet,140,0,5
1130126514748624896,Sun May 19 16:02:12 WEST 2019,,isRetweet,140,0,1
1130120245505486848,Sun May 19 15:37:17 WEST 2019,,isRetweet,140,0,101
1130119518586658816,Sun May 19 15:34:24 WEST 2019,,isRetweet,140,0,5
1130119129095184384,Sun May 19 15:32:51 WEST 2019,,isRetweet,46,0,4
1130116365530963968,Sun May 19 15:21:52 WEST 2019,,isRetweet,139,0,2
1130115841830326274,Sun May 19 15:19:47 WEST 2019,,isRetweet,140,0,5
1130098365650341890,Sun May 19 14:10:21 WEST 2019,,isRetweet,139,0,2
1130098292539494400,Sun May 19 14:10:03 WEST 2019,,isRetweet,139,0,2
1130080067453968384,Sun May 19 12:57:38 WEST 2019,,isRetweet,140,0,4
1130077621893697536,Sun May 19 12:47:55 WEST 2019,,isRetweet,141,0,35
1130076748048211968,Sun May 19 12:44:27 WEST 2019,,isRetweet,140,0,4
1130075133601878016,Sun May 19 12:38:02 WEST 2019,,isRetweet,140,0,4
1129932027388731393,Sun May 19 03:09:23 WEST 2019,,isRetweet,89,0,2
1129341189470261248,Fri May 17 12:01:36 WEST 2019,,isRetweet,141,0,1
1129225016447516673,Fri May 17 04:19:58 WEST 2019,,isRetweet,140,0,3
1130416310997925888,Mon May 20 11:13:45 WEST 2019,,isRetweet,56,0,2
1130366862565371904,Mon May 20 07:57:15 WEST 2019,,isRetweet,140,0,1
1130341447712985088,Mon May 20 06:16:16 WEST 2019,,isRetweet,74,0,1
1130331921211219969,Mon May 20 05:38:25 WEST 2019,,isRetweet,139,0,2
1130326037567434752,Mon May 20 05:15:02 WEST 2019,,isRetweet,141,0,1
1130301353375485954,Mon May 20 03:36:57 WEST 2019,,isRetweet,140,0,1
1130301270219116544,Mon May 20 03:36:37 WEST 2019,,isRetweet,133,0,1
1130300626439692291,Mon May 20 03:34:03 WEST 2019,,isRetweet,140,0,15
1130423274159181824,Mon May 20 11:41:25 WEST 2019,,isRetweet,140,0,1
1130418010416504833,Mon May 20 11:20:30 WEST 2019,,isRetweet,140,0,1
1130416772279148546,Mon May 20 11:15:35 WEST 2019,,isRetweet,106,0,21
1130414614733316097,Mon May 20 11:07:00 WEST 2019,,isRetweet,140,0,7
1130413127546413056,Mon May 20 11:01:06 WEST 2019,,isRetweet,140,0,7
1130411889333350400,Mon May 20 10:56:11 WEST 2019,,isRetweet,140,0,7
1130408176006754304,Mon May 20 10:41:25 WEST 2019,,isRetweet,106,0,21
1130403717377695744,Mon May 20 10:23:42 WEST 2019,,isRetweet,106,0,21
1130403099875655681,Mon May 20 10:21:15 WEST 2019,,isRetweet,140,0,33
1130399412700581888,Mon May 20 10:06:36 WEST 2019,,isRetweet,140,0,7
1130397372188639232,Mon May 20 09:58:29 WEST 2019,,isRetweet,140,0,7
1130390804545990656,Mon May 20 09:32:24 WEST 2019,,isRetweet,140,0,1
1130388959266246656,Mon May 20 09:25:04 WEST 2019,,isRetweet,140,0,7
1130381691112103936,Mon May 20 08:56:11 WEST 2019,,isRetweet,140,0,33
1130379104035823621,Mon May 20 08:45:54 WEST 2019,,isRetweet,140,0,1
1130375254830977024,Mon May 20 08:30:36 WEST 2019,,isRetweet,117,0,5
1130365276044890113,Mon May 20 07:50:57 WEST 2019,,isRetweet,140,0,176
1130365223272144899,Mon May 20 07:50:45 WEST 2019,,isRetweet,140,0,33
1130364982019780608,Mon May 20 07:49:47 WEST 2019,,isRetweet,140,0,1
1130364103816560642,Mon May 20 07:46:18 WEST 2019,,isRetweet,140,0,2
1130361887382593536,Mon May 20 07:37:29 WEST 2019,,isRetweet,140,0,2
1130415906213965824,Mon May 20 11:12:08 WEST 2019,,isRetweet,139,0,3
1130398138722848768,Mon May 20 10:01:32 WEST 2019,,isRetweet,140,0,1
1130385816155578368,Mon May 20 09:12:34 WEST 2019,,isRetweet,140,0,3
1130364103816560642,Mon May 20 07:46:18 WEST 2019,,isRetweet,140,0,2
1130361887382593536,Mon May 20 07:37:29 WEST 2019,,isRetweet,140,0,2
1130360027905183744,Mon May 20 07:30:06 WEST 2019,,isRetweet,139,0,3
1130357074309898240,Mon May 20 07:18:22 WEST 2019,,isRetweet,139,0,3
1130355744073641986,Mon May 20 07:13:05 WEST 2019,,isRetweet,140,0,2
1130424226551406592,Mon May 20 11:45:12 WEST 2019,,isRetweet,140,0,2
1130424178354589696,Mon May 20 11:45:01 WEST 2019,,isRetweet,140,0,10
1130424175229886464,Mon May 20 11:45:00 WEST 2019,,isRetweet,140,0,160
1130424041859424257,Mon May 20 11:44:28 WEST 2019,,isRetweet,143,0,139
1130424035613872128,Mon May 20 11:44:27 WEST 2019,,isRetweet,140,0,4
1130423997336883205,Mon May 20 11:44:17 WEST 2019,,isRetweet,140,0,71
1130423955364278272,Mon May 20 11:44:07 WEST 2019,,isRetweet,140,0,4
1130423934778793984,Mon May 20 11:44:02 WEST 2019,,isRetweet,143,0,139
1130423934774587392,Mon May 20 11:44:02 WEST 2019,,isRetweet,140,0,3
1130423918970449920,Mon May 20 11:43:59 WEST 2019,,isRetweet,126,0,4
1130423892856725504,Mon May 20 11:43:52 WEST 2019,,isRetweet,140,0,193
1130423888343642113,Mon May 20 11:43:51 WEST 2019,,isRetweet,140,0,10
1130423790968758272,Mon May 20 11:43:28 WEST 2019,,isRetweet,140,0,10
1130423764494278656,Mon May 20 11:43:22 WEST 2019,,isRetweet,140,0,147
1130423763303112704,Mon May 20 11:43:22 WEST 2019,,isRetweet,140,0,10
1130423734198820865,Mon May 20 11:43:15 WEST 2019,,isRetweet,140,0,10
1130423723369082881,Mon May 20 11:43:12 WEST 2019,,isRetweet,140,0,25
1130423702120816640,Mon May 20 11:43:07 WEST 2019,,isRetweet,143,0,139
1130423700065574912,Mon May 20 11:43:07 WEST 2019,,isRetweet,140,0,31
1130423684664102912,Mon May 20 11:43:03 WEST 2019,,isRetweet,132,0,1
1130423669195509760,Mon May 20 11:42:59 WEST 2019,,isRetweet,140,0,160
1130423667366813696,Mon May 20 11:42:59 WEST 2019,,isRetweet,140,0,18
1130423658386579456,Mon May 20 11:42:57 WEST 2019,,isRetweet,140,0,147
1130423638149222402,Mon May 20 11:42:52 WEST 2019,,isRetweet,140,0,3
1130423630989615104,Mon May 20 11:42:50 WEST 2019,,isRetweet,140,0,153
1130423556637122560,Mon May 20 11:42:32 WEST 2019,,isRetweet,140,0,37
1130423466996322305,Mon May 20 11:42:11 WEST 2019,,isRetweet,139,0,5
1130423454316896257,Mon May 20 11:42:08 WEST 2019,,isRetweet,143,0,170
1130423437611163648,Mon May 20 11:42:04 WEST 2019,,isRetweet,140,0,18
1130423399703109632,Mon May 20 11:41:55 WEST 2019,,isRetweet,140,0,10
1130423388634271744,Mon May 20 11:41:52 WEST 2019,,isRetweet,140,0,5
1130423384255488001,Mon May 20 11:41:51 WEST 2019,,isRetweet,140,0,159
1130423383521419265,Mon May 20 11:41:51 WEST 2019,,isRetweet,140,0,133
1130423375577387008,Mon May 20 11:41:49 WEST 2019,,isRetweet,140,0,10
1130423372515598336,Mon May 20 11:41:48 WEST 2019,,isRetweet,140,0,27
1130423348431937537,Mon May 20 11:41:43 WEST 2019,,isRetweet,140,0,10
1130423294480572416,Mon May 20 11:41:30 WEST 2019,,isRetweet,140,0,32
1130423264499646464,Mon May 20 11:41:23 WEST 2019,,isRetweet,139,0,1
1130423263652454400,Mon May 20 11:41:22 WEST 2019,,isRetweet,139,0,5
1130424078001512449,Mon May 20 11:44:37 WEST 2019,,isRetweet,133,0,43
